target_category,target_subcategory
верх,Блузка
верх,Боди
верх,Водолазка
верх,Джемпер
верх,Жилет
верх,Кардиган
верх,Кофта
верх,Лонгслив
верх,Майка
верх,Пиджак
верх,Поло
верх,Рубашка
верх,Свитер
верх,Топ
верх,Футболка
верхняя одежда,Верхний жилет
верхняя одежда,Джинсовка
верхняя одежда,Дублёнка
верхняя одежда,Кожанка_косуха
верхняя одежда,Комбинезоны
верхняя одежда,Куртка
верхняя одежда,Пальто
верхняя одежда,Тренч_плащ
верхняя одежда,Шуба
низ,Брюки
низ,Джинсы
низ,Легинсы_тайтсы
низ,Спортивные штаны
низ,Шорты
низ,Юбка
обувь,Босоножки на каблуке
обувь,Ботильоны
обувь,Ботинки
обувь,Кроссовки _ кеды
обувь,Плоская обувь
обувь,Сандалии
обувь,Сапоги
обувь,Тапки_шлёпки
обувь,Туфли на каблуке
слитное,Комбинезон
слитное,Платье
слитное,Сарафан
сумки и аксессуары,Аксессуары для волос
сумки и аксессуары,Головной убор
сумки и аксессуары,Очки
сумки и аксессуары,Перчатки
сумки и аксессуары,Ремень
сумки и аксессуары,Сумка_рюкзак
сумки и аксессуары,Украшения
сумки и аксессуары,Шарф
